ID,CREATION_DT,BU,S_START_DT,S_END_DT,DEPTO,PRODUCT,PROCESS,MACHINE,SAMPLE_TIME_SPAN,TOTAL_PRODUCTION_TIME,BUILD_QTY,AVG_CT,AVAIL,PERF,YIELD,OEE
25472,28-JUL-15,4,06-JUN-15,06-JUN-15,Engines,all,Functional test,Functional#4,480,275,51,5.39,.5722569444444444444444444444444444444479,1.11401007220435653176384928099023117529,.6666666666666666666666666666666666666667,.4250000000000000000000000000000000000016
25473,28-JUL-15,4,06-JUN-15,06-JUN-15,Engines,all,Functional test,Functional#5,480,237,46,5.15,.4935763888888888888888888888888888888896,1.1649665845937390080900457263454097784,.6086956521739130434782608695652173913043,.3499999999999999999999999999999999999995
25474,28-JUL-15,4,06-JUN-15,06-JUN-15,Engines,all,Functional test,Functional#7,480,304,36,8.46,.6342708333333333333333333333333333333333,.7094761044506487107899490885202824765975,.5833333333333333333333333333333333333333,.2625000000000000000000000000000000000001
25475,28-JUL-15,4,06-JUN-15,06-JUN-15,Engines,all,Functional test,Functional#3,480,292,49,5.97,.6091319444444444444444444444444444444438,1.00552927093427577951319614661118394802,.591836734693877551020408163265306122449,.362500000000000000000000000000000000002
25476,28-JUL-15,4,06-JUN-15,06-JUN-15,Engines,all,Functional test,Functional#2,480,212,37,5.73,.4414930555555555555555555555555555555583,1.04758159653952025167125442390876917027,.7567567567567567567567567567567567567568,.3500000000000000000000000000000000000018
25484,28-JUL-15,4,05-JUN-15,06-JUN-15,Engines,all,Functional test,Functional#1,450,279,47,5.94,.6199259259259259259259259259259259259267,1.0108734615844186880152945393714900227,.7659574468085106382978723404255319148936,.4799999999999999999999999999999999999992
25485,28-JUL-15,4,05-JUN-15,06-JUN-15,Engines,all,Functional test,Functional#6,450,195,23,8.47,.4329259259259259259259259259259259259244,.7083582855676276841474890923090084695035,.4782608695652173913043478260869565217391,.1466666666666666666666666666666666666666
25486,28-JUL-15,4,05-JUN-15,06-JUN-15,Engines,all,Functional test,Functional#4,450,273,53,5.16,.6072592592592592592592592592592592592556,1.16369846303976579653574042449377897049,.7735849056603773584905660377358490566038,.5466666666666666666666666666666666666678
25487,28-JUL-15,4,05-JUN-15,06-JUN-15,Engines,all,Functional test,Functional#5,450,277,48,5.78,.61625925925925925925925925925925925926,1.03852394975659594927579782438848488491,.7083333333333333333333333333333333333333,.4533333333333333333333333333333333333343
25488,28-JUL-15,4,05-JUN-15,06-JUN-15,Engines,all,Functional test,Functional#2,450,211,34,6.2,.4684074074074074074074074074074074074089,.967818454969557997944176484541788566455,.7352941176470588235294117647058823529412,.3333333333333333333333333333333333333332
25489,28-JUL-15,4,05-JUN-15,06-JUN-15,Engines,all,Functional test,Functional#7,450,149,16,9.32,.3313703703703703703703703703703703703733,.6437912149323795685704705487873030065886,.6875,.1466666666666666666666666666666666666666
25490,28-JUL-15,4,05-JUN-15,06-JUN-15,Engines,all,Functional test,Functional#3,450,257,35,7.35,.5713333333333333333333333333333333333333,.8168028004667444574095682613768961493577,.5142857142857142857142857142857142857143,.2399999999999999999999999999999999999998
25491,28-JUL-15,4,05-JUN-15,05-JUN-15,Engines,all,Functional test,Functional#1,480,212,32,6.61,.440625,.9078014184397163120567375886524822695035,.6875,.275
25492,28-JUL-15,4,05-JUN-15,05-JUN-15,Engines,all,Functional test,Functional#6,480,161,21,7.64,.3344444444444444444444444444444444444417,.7848837209302325581395348837209302325648,.4285714285714285714285714285714285714286,.1125000000000000000000000000000000000001
25493,28-JUL-15,4,05-JUN-15,05-JUN-15,Engines,all,Functional test,Functional#4,480,251,40,6.27,.5226041666666666666666666666666666666667,.9567470599960135539166832768586804863464,.825,.4125
25494,28-JUL-15,4,05-JUN-15,05-JUN-15,Engines,all,Functional test,Functional#5,480,339,54,6.27,.705659722222222222222222222222222222225,.9565516902032180288343256408994735029243,.7037037037037037037037037037037037037037,.4750000000000000000000000000000000000001
25495,28-JUL-15,4,05-JUN-15,05-JUN-15,Engines,all,Functional test,Functional#3,480,313,50,6.27,.6530208333333333333333333333333333333375,.9570904450470569468814802998883394480717,.66,.4125
25496,28-JUL-15,4,05-JUN-15,05-JUN-15,Engines,all,Functional test,Functional#2,480,168,29,5.78,.3492013888888888888888888888888888888875,1.03808292731430844188127672268071989659,.7931034482758620689655172413793103448276,.2874999999999999999999999999999999999991
25503,28-JUL-15,4,04-JUN-15,05-JUN-15,Engines,all,Functional test,Functional#1,450,295,56,5.28,.6564814814814814814814814814814814814756,1.13737658674188998589562764456981664317,.8214285714285714285714285714285714285714,.6133333333333333333333333333333333333335
